title,author,rating,isbn,language,pages,ratings_count,reviews_count,year,publisher
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,0618391002,eng,218,19822,46,11/5/2003,Houghton Mifflin Harcourt
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,eng,208,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,1557344493,eng,48,36,2,8/28/1994,Teacher Created Resources
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,eng,144,2067,334,1/23/2001,Delacorte Press
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,eng,56,6,0,6/10/2003,Cherry Lane Music Company
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,en-US,228,99,16,11/1/2005,The New Press
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,eng,304,167,4,11/1/2005,Changeling Press
Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,eng,256,978,111,8/17/2006,Viking Juvenile
The Changeling Sea,Patricia A. McKillip,4.06,0141312629,eng,137,4454,302,4/14/2003,Firebird
The Changeling,Zilpha Keatley Snyder,4.17,0595321801,eng,228,1176,96,6/8/2004,iUniverse
The Changeling,Kate Horsley,3.55,1590301943,eng,339,301,43,4/12/2005,Shambhala
The Changeling (Daughters of England  #15),Philippa Carr,3.98,0449146979,eng,369,345,12,8/28/1990,Ivy Books
The Known World,Edward P. Jones,3.83,0061159174,eng,388,29686,2626,8/29/2006,Amistad
The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,en-US,14,55,12,6/15/2004,HarperAudio
The Known World,Edward P. Jones,3.83,0060749911,eng,576,22,3,6/15/2004,Harper
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,eng,334,1456,82,5/15/2006,FT Press
Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,eng,352,52,4,12/14/2005,Archaia
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,0374517193,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux
Uncommon Carriers,John McPhee,3.95,0374280398,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux
Heirs of General Practice,John McPhee,4.17,0374519749,eng,128,268,22,4/1/1986,Farrar  Straus and Giroux
The Control of Nature,John McPhee,4.24,0374522596,en-US,288,3498,305,9/1/1990,Farrar  Straus and Giroux
Annals of the Former World,John McPhee,4.34,0374518734,eng,720,3115,228,1/6/1999,Farrar  Straus and Giroux
Coming Into the Country,John McPhee,4.22,0374522871,eng,448,5704,261,4/1/1991,Farrar  Straus and Giroux
La Place de la Concorde Suisse,John McPhee,3.92,0374519323,fre,160,698,52,4/1/1994,Farrar  Straus and Giroux
Giving Good Weight,John McPhee,4.23,0374516006,eng,288,542,36,4/1/1994,Farrar  Straus and Giroux
Rising from the Plains,John McPhee,4.23,0374520658,eng,208,1341,98,11/1/1987,Farrar  Straus and Giroux
The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,eng,81,1423,70,3/1/2002,Dramatists Play Service
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,0679734996,eng,249,2766,64,7/2/1991,Vintage
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,eng,138,31,1,3/29/2006,Routledge
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,en-US,128,62,4,3/14/2006,North Light Books
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,0800793617,eng,192,860,53,9/1/2003,Chosen Books
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,0871202867,en-US,108,77,2,1/28/1997,Association for Supervision & Curriculum Development
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,0753454947,eng,352,153317,2257,11/15/2002,Kingfisher
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,0871209993,eng,192,55,5,11/15/2004,ASCD
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,eng,192,34,6,4/28/2003,Sovereign World
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,0761129588,eng,832,11797,659,10/16/2003,Workman Publishing Company
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,0972016414,eng,123,34,8,5/10/2004,One Hour Entertainment
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,en-US,128,78,4,8/19/2004,North Light Books
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,eng,423,2785,166,6/15/1987,Ace Books
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,eng,436,38778,568,7/1/1987,Ace Books
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,eng,331,97494,2359,7/15/1987,Ace Books
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,en-US,592,784,21,7/1/2004,Tor Books
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,eng,480,272,20,4/16/1984,Putnam
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,0765353709,eng,426,4789,83,8/29/2006,Tor Science Fiction
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,eng,471,45388,644,8/15/1987,Ace Books
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,eng,192,26153,102,6/12/2002,Houghton Mifflin Harcourt
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,eng,544,69167,4551,9/29/1996,Ballantine Books
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,eng,291,45,13,9/13/2005,Delacorte Books for Young Readers
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,0785260056,en-US,256,16,1,11/1/2004,Thomas Nelson
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,eng,205,174,16,5/19/2006,Wiley
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,0325001537,eng,240,10,0,2/7/2000,Heinemann Drama
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,eng,336,76,9,5/3/2005,William Morrow Paperbacks
eBay for Dummies,Marsha Collier,3.5,0470045299,eng,386,111,9,10/30/2006,Wiley
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,0072262788,eng,260,24,0,1/24/2006,McGraw-Hill
Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,eng,384,55,4,9/17/2004,Wiley
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,eng,260,9,0,6/6/2006,Wiley
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,0764559915,en-US,391,22,1,5/31/2004,Wiley
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,en-US,864,17,3,4/25/2005,Wiley
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,0596523696,eng,873,166,4,7/29/2006,O'Reilly Media
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,eng,240,50,5,5/3/2005,Citadel
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,eng,206,13,2,5/3/2005,Citadel
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,0596527314,eng,514,64,1,1/1/2007,O'Reilly Media
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,eng,838,16643,1851,5/31/2004,Penguin Classics
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,0451528611,eng,960,109420,5696,11/5/2002,Signet
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,0140449175,eng,837,2904,309,1/30/2003,Penguin Books
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,0822001837,eng,80,16,3,11/26/1965,Cliffs Notes
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,eng,803,9564,726,7/1/2003,Barnes & Noble Classics
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,0486437965,eng,752,474,72,11/23/2004,Dover Publications
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,eng,803,303,48,8/26/2004,Barnes & Noble
Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,eng,360,411,65,1/28/2006,Mira Books
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,eng,128,1204,33,11/26/1987,Cambridge University Press
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,0140183957,eng,160,3429,279,7/3/1990,Penguin Books
The Untouchable,John Banville,3.95,0679767479,eng,367,2163,216,6/30/1998,Vintage
The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,eng,256,613,31,2/1/1996,Buccaneer Books
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,en-US,320,308,40,9/27/2005,Scribner
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,0932863051,eng,100,10,0,1/28/1995,Clarity Press
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,0742508803,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,0205358624,eng,216,10,0,9/22/2003,Pearson
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,1557344035,eng,48,17,0,9/28/1991,Teacher Created Resources
Wrinkles in Time,George Smoot/Keay Davidson,4.01,0380720442,eng,360,1035,23,10/1/1994,Harper Perennial
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,0821925326,eng,250,36,6,5/1/2002,EMC/Paradigm Publishing
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,eng,32,15,0,1/1/2002,Teaching Resources
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,0606105263,spa,205,6,1,6/1/1984,Turtleback Books
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,0751506435,eng,367,376,17,6/1/1994,Little  Brown Book Group
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,eng,352,3086,237,1/3/2006,William Morrow
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,0743499344,en-US,320,352,44,11/1/2005,Atria Books
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,0765313405,eng,331,9852,633,3/7/2006,Tor Books
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,eng,244,821,78,8/10/2004,Vintage Crime/Black Lizard
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,eng,215,731,72,3/8/2005,Vintage Crime/Black Lizard
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,eng,191,2897,178,8/10/2004,Vintage Crime/Black Lizard
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,0679732527,eng,144,98,11,10/3/1990,Vintage
I am Charlotte Simmons,Tom Wolfe,3.42,0312424442,eng,738,20888,1688,8/30/2005,Picador USA
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,0806930772,eng,48,66,19,10/1/2001,Sterling
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,0140366601,eng,287,81,6,10/3/1996,Puffin
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,0811201120,eng,217,981,52,2/1/1964,New Directions Publishing
Quiet Days in Clichy,Henry Miller,3.69,080213016X,eng,154,3381,141,1/13/1994,Grove Press
Tropic of Cancer,Henry Miller/Jiří Níl,3.68,0802131786,eng,318,53206,2376,1/6/1994,Grove Press
Tropic of Capricorn,Henry Miller,3.78,0802151825,eng,348,14872,459,1/13/1994,Grove Press
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,0802151787,eng,316,3261,58,1/13/1994,Grove Press
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,0802151809,eng,506,7805,251,1/12/1994,Grove Press
The Air-Conditioned Nightmare,Henry Miller,3.83,0811201066,eng,292,2699,142,1/17/1970,New Directions
The Portrait of a Lady,Henry James/Patricia Crick,3.78,0141439637,eng,797,61640,1951,9/30/2003,Penguin Classics
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,eng,635,392,41,1/16/2004,Barnes  Noble Classics
Writing,Marguerite Duras,3.75,1571290532,eng,91,778,44,5/6/1999,Brookline Books
The War,Marguerite Duras/Barbara Bray,3.85,1565842219,eng,192,963,65,8/1/1994,The New Press
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,0394743040,en-US,181,2057,128,3/12/1986,Pantheon
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1851681825,eng,178,203,8,7/1/1999,One World (UK)
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,156656249X,eng,464,35,2,4/1/1998,Interlink Publishing Group
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,eng,102,328,16,1/1/1998,Penguin Books
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,0394431243,eng,216,1308,82,2/21/1995,Knopf
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,0806501901,eng,132,6432,517,3/3/2003,Citadel
Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,067943920X,eng,100,3015,217,6/14/2011,Knopf
Treasure Island,Robert Louis Stevenson,3.83,0753453800,eng,311,318753,6734,9/15/2001,Kingfisher
Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,1402714572,en-US,213,420,42,10/1/2004,Sterling Children's Books
Treasure Island,Robert Louis Stevenson,3.83,1416500294,eng,245,5967,276,6/1/2005,Simon & Schuster
Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,0689854684,eng,64,104,14,7/1/2003,Atheneum Books for Young Readers
Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,0517221144,en-US,272,56,4,9/3/2002,Gramercy Books
Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,1577658051,eng,232,91,16,1/31/2006,Abdo Publishing Company
100 Years of Lynchings,Ralph Ginzburg,4.61,0933121180,eng,270,88,4,11/22/1996,Black Classic Press
Cien años de soledad,Gabriel García Márquez,4.07,0785950109,spa,448,63,7,1/1/1990,French & European
On Beyond Zebra!,Dr. Seuss,4.04,0394800842,eng,64,2815,164,9/12/1955,Random House Books for Young Readers
The Wedding Clause,Debbie Raleigh,3.6,0821778250,eng,256,95,13,6/7/2005,Zebra
The Zebra Wall,Kevin Henkes,3.44,0060733039,eng,147,217,24,2/15/2005,Greenwillow Books
El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,spa,239,4136,255,6/1/2002,Booket
The Door Into Summer,Robert A. Heinlein,4.01,0345413997,eng,304,17232,649,6/17/1997,Del Rey
Stranger in a Strange Land,Robert A. Heinlein,3.92,0441788386,eng,528,251872,6241,10/1/1991,Ace
To Sail Beyond the Sunset,Robert A. Heinlein,3.87,0441748600,en-US,434,10293,193,6/1/1988,Ace Books
Job: A Comedy of Justice,Robert A. Heinlein,3.78,0345316509,en-US,439,15970,438,10/12/1985,Del Rey
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,0765314932,eng,256,6898,200,8/8/2006,Tor Books
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,0671742515,en-US,307,67803,1401,2/15/1991,Pocket Books
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,0345455290,eng,298,22091,746,4/26/2005,Del Rey
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,0345476514,eng,368,2623,49,12/27/2005,Del Rey
Douglas Adams's Starship Titanic,Terry Jones,3.6,0345368436,eng,256,885,84,10/27/1998,Ballantine Books
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,1417622857,eng,336,5,0,7/1/2003,Turtleback Books
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,0573650969,eng,72,100,13,1/12/2011,Samuel French  Inc.
On Bullshit,Harry G. Frankfurt,3.57,0691122946,eng,67,9358,995,1/30/2005,Princeton University Press
Another Bullshit Night in Suck City,Nick Flynn,3.78,0393329402,eng,347,9318,907,9/12/2005,W. W. Norton & Company
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,0671867423,en-US,317,120,15,6/12/1993,Simon & Schuster
The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,0395883970,eng,32,5239,76,2/2/1998,HMH Books for Young Readers
Underworld,Don DeLillo,3.92,0684848155,eng,827,1505,175,7/9/1998,Scribner
Libra,Don DeLillo,3.99,0140156046,eng,480,11857,564,5/1/1991,Penguin
Americana,Don DeLillo,3.43,0140119485,eng,377,393,55,7/6/1989,Penguin Books
Running Dog,Don DeLillo,3.43,0679722947,eng,256,1356,72,7/17/1989,Vintage Contemporaries
Cosmopolis,Don DeLillo,3.22,0743244257,eng,224,460,41,4/6/2004,Scribner
Great Jones Street,Don DeLillo,3.48,0140179178,eng,272,2492,145,1/1/1994,Penguin Books
The Names,Don DeLillo,3.64,0679722955,eng,339,3100,212,7/17/1989,Vintage
Against the Day,Thomas Pynchon,4.13,159420120X,eng,1085,5296,587,11/21/2006,Penguin Press
V.,Thomas Pynchon,3.96,0060930217,eng,547,1415,177,7/5/2005,Harper Perennial Modern Classics
The Crying of Lot 49,Thomas Pynchon,3.69,0060931671,eng,152,2161,230,4/1/1999,Harper Perennial
Gravity's Rainbow,Thomas Pynchon,4.01,0140283382,eng,784,762,213,1/1/2000,Penguin Books
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,0312423209,eng,773,8086,602,1/3/2004,Picador USA
Vineland,Thomas Pynchon,3.69,0141180633,en-US,385,702,69,9/1/1997,Penguin Classics
Gravity's Rainbow,Thomas Pynchon,4.01,0143039946,eng,776,29764,2164,10/31/2006,Penguin Books
Slow Learner: Early Stories,Thomas Pynchon,3.5,0316724432,eng,193,334,34,4/30/1985,Back Bay Books
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,0140189300,eng,352,2473,220,8/29/1996,Penguin Classics
The Year of Magical Thinking,Joan Didion,3.89,140004314X,en-US,227,2656,336,10/4/2005,Knopf Publishing Group
The White Album,Joan Didion,4.17,0374522219,eng,222,11889,738,10/1/1990,Farrar Straus Giroux
A Book of Common Prayer,Joan Didion,3.8,0679754865,eng,272,2962,255,4/11/1995,Vintage International
Where I Was From,Joan Didion,3.86,0679752862,eng,240,2842,292,9/14/2004,Vintage
Slouching Towards Bethlehem,Joan Didion,4.21,0374521727,eng,238,26934,1825,10/1/1990,Farrar Straus Giroux
Democracy,Joan Didion,3.81,0679754857,en-US,234,2070,169,4/25/1995,Vintage International
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,0307264874,eng,1122,1564,108,10/17/2006,Everyman's Library
Play It As It Lays,Joan Didion/David Thomson,3.87,0374529949,eng,231,23656,1706,11/15/2005,Farrar  Straus and Giroux
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,0143039830,eng,308,43200,1873,3/28/2006,Penguin Classics
City of Glass (The New York Trilogy  #1),Paul Auster,3.79,0140097317,eng,203,12410,734,4/7/1987,Penguin Books
Ghosts (The New York Trilogy  #2),Paul Auster,3.64,014009735X,eng,96,3672,195,7/7/1987,Penguin Books
The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,0940650762,eng,179,2998,164,11/1/1986,Sun and Moon Press
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,0963188925,eng,256,74,2,1/1/1995,Sky Books (NY)
The Brooklyn Follies,Paul Auster,3.84,0312426232,eng,306,17977,1157,10/17/2006,Picador
Moon Palace,Paul Auster,3.94,0140115854,eng,320,16099,503,4/1/1990,Penguin Books
The Music of Chance,Paul Auster,3.9,0140154078,en-US,217,361,36,12/1/1991,Penguin Books
Travels in the Scriptorium,Paul Auster,3.23,0805081453,eng,145,6688,562,1/23/2007,Henry Holt & Company
Leviathan,Paul Auster,3.96,0140178139,eng,275,11744,443,9/1/1993,Penguin Books
The Red Notebook: True Stories,Paul Auster,3.77,0811214982,eng,104,2390,120,6/17/2002,New Directions
Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,2742741461,fre,1075,21,1,11/7/2002,Actes Sud
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,0143036556,eng,608,52522,2780,12/27/2005,Penguin Books Ltd. (London)
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,0446579785,en-US,211,213,26,2/1/2006,Business Plus
Collapse of Complex Societies,Joseph A. Tainter,4.15,052138673X,eng,262,719,86,3/29/1990,Cambridge University Press
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,0743203046,eng,544,4762,512,8/7/2001,Simon  Schuster
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,034543871X,eng,272,62,4,1/29/2002,Ballantine Books
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,0393318281,eng,576,278,20,9/17/1998,W. W. Norton  Company
My Inventions,Nikola Tesla,4.01,1599869942,eng,88,2862,262,5/17/2006,Filiquarian Publishing  LLC.
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,0806519606,eng,542,2829,334,2/1/2001,Citadel
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,0822549204,eng,144,105,5,10/1/1994,Lerner Publications
Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,0932813860,eng,100,102,2,12/1/2000,Adventures Unlimited Press
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,0373792689,eng,249,478,12,6/27/2006,Harlequin Blaze
